age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
59,75867,14,1,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
52,176409,13,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
31,83912,13,0,0,0,25,0,1,1,0,1,0,0,1,0,1,1,0
47,201865,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
34,532379,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
41,112763,10,0,0,0,35,0,1,1,0,1,0,0,1,0,1,0,1
31,206541,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
40,144067,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
33,176711,13,1,0,0,40,0,1,1,0,0,1,1,0,0,1,1,0
38,472604,13,1,0,0,35,0,1,1,0,0,1,1,0,0,1,1,0
30,241583,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
37,110861,10,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
57,123778,9,1,0,0,48,1,0,1,0,0,1,1,0,0,1,0,1
65,104454,13,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
54,189607,13,0,0,0,36,0,1,0,1,0,1,0,1,1,0,0,1
37,143774,9,0,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
57,182677,13,1,4508,0,40,0,1,1,0,1,0,1,0,1,0,1,0
39,48063,10,1,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
31,114937,13,1,0,0,35,0,1,1,0,1,0,1,0,0,1,0,1
31,137978,13,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
39,160916,12,0,0,0,45,0,1,1,0,0,1,0,1,0,1,0,1
29,241667,14,0,0,0,45,0,1,0,1,1,0,0,1,0,1,0,1
38,203717,13,1,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
56,266091,13,0,0,0,45,0,1,0,1,1,0,0,1,0,1,1,0
39,65027,10,1,0,0,43,0,1,1,0,0,1,1,0,0,1,0,1
36,36423,10,1,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
35,104329,9,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
47,115813,12,0,0,0,57,0,1,0,1,1,0,0,1,0,1,0,1
29,188729,13,0,0,0,45,0,1,0,1,1,0,0,1,0,1,0,1
47,148169,9,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
55,256526,9,1,4865,0,45,0,1,0,1,1,0,0,1,0,1,0,1
43,200508,13,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
59,93655,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
40,323790,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
38,134444,10,1,0,0,72,1,0,1,0,0,1,1,0,0,1,0,1
43,187164,9,1,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
34,434463,13,0,0,0,39,0,1,0,1,1,0,0,1,0,1,0,1
48,34186,9,1,0,0,70,0,1,1,0,0,1,1,0,0,1,0,1
34,361978,9,0,1471,0,40,0,1,0,1,0,1,0,1,1,0,0,1
29,263005,14,1,0,0,45,0,1,1,0,1,0,1,0,0,1,1,0
54,226735,9,1,0,0,45,1,0,1,0,0,1,1,0,1,0,0,1
46,186078,10,0,0,0,45,0,1,0,1,1,0,0,1,0,1,0,1
56,108496,9,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
38,212048,15,0,0,0,30,0,1,0,1,1,0,0,1,0,1,0,1
62,234738,13,1,5013,0,50,1,0,1,0,1,0,1,0,0,1,0,1
30,200892,14,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
40,199031,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,1,0
53,194791,9,1,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
67,39100,9,0,0,0,5,0,1,1,0,0,1,0,1,0,1,0,1
66,188842,13,1,0,0,24,1,0,1,0,1,0,1,0,0,1,0,1
49,170846,14,0,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
51,82566,9,1,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
57,477867,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
50,330142,10,1,0,0,44,0,1,1,0,0,1,1,0,0,1,0,1
37,267085,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
44,211759,13,1,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
45,77927,13,0,0,0,40,0,1,0,1,0,1,0,1,1,0,1,0
52,67090,9,1,0,0,44,0,1,1,0,0,1,1,0,0,1,0,1
62,41793,14,0,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
42,173590,10,1,0,1628,40,0,1,1,0,1,0,1,0,0,1,0,1
47,159869,16,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
44,182383,10,0,0,0,35,0,1,1,0,1,0,0,1,0,1,0,1
53,101432,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
56,182142,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
70,172370,15,1,0,0,25,1,0,1,0,1,0,1,0,0,1,0,1
34,200689,13,0,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
33,267404,9,0,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
58,519006,9,1,0,0,52,0,1,1,0,0,1,1,0,0,1,0,1
39,597843,14,0,0,0,50,1,0,0,1,1,0,0,1,0,1,1,0
36,175769,15,1,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
44,200194,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
28,183151,12,1,0,0,60,1,0,1,0,1,0,1,0,0,1,0,1
75,34235,9,0,2964,0,14,0,1,0,1,1,0,0,1,0,1,0,1
60,197311,9,0,0,0,99,0,1,0,1,0,1,0,1,0,1,0,1
41,66118,10,0,0,0,25,1,0,1,0,0,1,0,1,0,1,0,1
56,289605,9,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
44,57600,10,0,0,0,38,0,1,1,0,1,0,0,1,0,1,0,1
44,238188,12,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
58,234841,9,1,0,0,72,1,0,1,0,0,1,1,0,0,1,0,1
54,163815,14,1,0,0,60,1,0,0,1,0,1,0,1,0,1,0,1
29,400074,10,0,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
52,29658,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
51,104748,10,1,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
31,261943,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
47,312088,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
35,475324,13,1,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
23,259109,12,0,0,0,40,0,1,1,0,0,1,0,1,0,1,1,0
41,133456,12,0,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
56,329948,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
52,294691,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
25,245121,9,0,0,0,40,0,1,1,0,0,1,0,1,1,0,0,1
37,262409,14,0,0,213,45,0,1,0,1,1,0,0,1,0,1,0,1
40,199303,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
35,153926,9,0,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
36,263130,14,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
51,74784,13,0,0,0,60,0,1,0,1,0,1,0,1,0,1,0,1
41,168071,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
40,212847,10,1,0,2179,40,0,1,1,0,1,0,1,0,0,1,0,1
42,89003,13,1,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
46,168069,9,1,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
35,160910,10,1,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
40,142657,11,1,0,0,45,0,1,1,0,0,1,1,0,1,0,0,1
34,66561,13,1,0,0,37,0,1,1,0,1,0,1,0,0,1,0,1
53,157059,9,1,0,0,50,0,1,1,0,1,0,1,0,0,1,0,1
44,177851,15,1,0,0,60,1,0,1,0,1,0,1,0,0,1,0,1
48,102076,13,0,0,0,35,1,0,0,1,1,0,0,1,0,1,0,1
42,116632,10,1,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
57,214619,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
44,53956,13,1,3137,0,40,1,0,1,0,1,0,1,0,0,1,0,1
20,271379,10,0,0,0,25,0,1,0,1,0,1,0,1,0,1,0,1
37,199265,10,1,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
42,180985,11,1,0,0,52,0,1,1,0,0,1,1,0,0,1,0,1
54,184620,14,0,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
36,72375,13,0,0,0,45,0,1,0,1,1,0,0,1,0,1,0,1
49,35406,9,0,0,0,20,1,0,0,1,1,0,0,1,0,1,0,1
47,198901,9,1,0,0,48,0,1,1,0,0,1,1,0,0,1,0,1
42,322385,11,1,2407,0,40,0,1,1,0,1,0,1,0,0,1,0,1
48,116601,14,0,0,0,50,1,0,0,1,1,0,0,1,1,0,1,0
27,26754,13,0,0,0,10,0,1,1,0,1,0,0,1,1,0,1,0
38,256864,11,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
42,43909,14,0,0,0,32,1,0,0,1,1,0,0,1,0,1,0,1
37,116554,14,0,0,0,70,1,0,0,1,1,0,0,1,0,1,0,1
28,296450,13,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
