sex,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
1,29,263786,13,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
1,44,314739,10,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
1,50,219420,9,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
1,36,129150,9,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
1,31,157887,10,0,0,65,0,1,1,0,1,0,1,0,0,1,0,1
1,58,219504,8,0,0,45,0,1,0,1,0,1,0,1,1,0,0,1
1,81,98116,13,0,0,50,0,1,0,1,0,1,0,1,0,1,0,1
1,30,169002,13,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
1,36,247807,11,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
1,38,231491,9,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
1,50,172052,9,0,0,35,0,1,1,0,1,0,1,0,1,0,1,0
1,33,159123,10,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
1,51,173987,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
0,27,229223,10,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
1,52,186117,9,0,0,56,1,0,1,0,0,1,1,0,0,1,0,1
1,46,123598,10,0,0,48,0,1,1,0,0,1,1,0,0,1,0,1
1,39,184964,10,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
1,45,102147,11,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
1,35,151835,9,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
0,36,349534,12,0,0,31,0,1,1,0,1,0,0,1,0,1,0,1
1,42,79531,10,0,0,55,1,0,1,0,1,0,1,0,0,1,0,1
1,35,196123,12,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
1,24,360077,7,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
1,43,137126,10,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
1,52,68015,10,0,0,90,1,0,1,0,0,1,1,0,0,1,0,1
1,54,33863,9,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
1,33,162572,9,0,0,55,0,1,1,0,0,1,1,0,0,1,0,1
1,50,98350,10,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
1,42,144056,11,0,0,40,0,1,1,0,0,1,1,0,1,0,0,1
1,36,219155,10,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
1,49,184285,9,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
0,33,101345,9,0,0,42,0,1,1,0,1,0,0,1,0,1,1,0
1,61,298400,13,4787,0,48,0,1,0,1,0,1,0,1,1,0,0,1
1,58,314153,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
0,43,128212,3,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
1,26,402998,13,0,0,58,0,1,1,0,1,0,1,0,0,1,0,1
0,44,160829,13,0,0,20,0,1,1,0,0,1,0,1,0,1,0,1
0,54,137065,16,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
1,38,187046,9,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
0,32,222205,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
1,50,193720,9,0,0,70,1,0,1,0,1,0,1,0,0,1,1,0
1,50,279129,13,0,0,55,0,1,0,1,1,0,0,1,0,1,0,1
1,59,142182,9,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
1,50,159670,9,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
0,56,170070,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
1,34,56026,9,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
0,40,226505,9,0,0,46,0,1,1,0,1,0,0,1,0,1,0,1
