sex,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
1,59,75867,14,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
1,38,472604,13,0,0,35,0,1,1,0,0,1,1,0,0,1,1,0
1,57,182677,13,4508,0,40,0,1,1,0,1,0,1,0,1,0,1,0
1,31,114937,13,0,0,35,0,1,1,0,1,0,1,0,0,1,0,1
1,31,137978,13,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
0,39,160916,12,0,0,45,0,1,1,0,0,1,0,1,0,1,0,1
1,38,203717,13,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
1,43,200508,13,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
1,29,263005,14,0,0,45,0,1,1,0,1,0,1,0,0,1,1,0
1,62,234738,13,5013,0,50,1,0,1,0,1,0,1,0,0,1,0,1
1,30,200892,14,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
1,50,330142,10,0,0,44,0,1,1,0,0,1,1,0,0,1,0,1
1,44,211759,13,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
1,47,159869,16,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
1,36,175769,15,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
1,51,104748,10,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
1,35,475324,13,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
1,40,212847,10,0,2179,40,0,1,1,0,1,0,1,0,0,1,0,1
1,42,89003,13,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
1,34,66561,13,0,0,37,0,1,1,0,1,0,1,0,0,1,0,1
1,44,177851,15,0,0,60,1,0,1,0,1,0,1,0,0,1,0,1
1,37,199265,10,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
0,35,223514,13,0,0,40,0,1,1,0,1,0,0,1,1,0,0,1
0,40,29841,13,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
1,39,91039,14,0,0,45,1,0,1,0,1,0,1,0,0,1,0,1
1,49,390746,13,0,1672,45,0,1,1,0,1,0,1,0,0,1,1,0
0,46,181413,12,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
1,28,106721,14,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
1,69,199829,13,0,1258,40,1,0,1,0,1,0,1,0,0,1,0,1
0,59,193375,14,0,0,10,0,1,1,0,1,0,0,1,0,1,0,1
1,54,310774,13,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
1,45,31478,13,2829,0,60,1,0,1,0,0,1,1,0,0,1,0,1
1,44,32000,13,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
1,36,184659,10,0,0,52,0,1,1,0,1,0,1,0,0,1,0,1
1,38,360494,15,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
1,44,115932,14,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
1,55,252714,11,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
1,47,402975,10,0,0,40,1,0,1,0,1,0,1,0,1,0,0,1
1,42,321086,14,0,0,50,0,1,1,0,1,0,1,0,0,1,0,1
1,28,142443,13,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
1,36,414683,13,0,0,40,0,1,1,0,1,0,1,0,1,0,0,1
1,62,213700,16,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
1,56,245215,16,0,0,50,0,1,1,0,1,0,1,0,0,1,0,1
1,44,186790,14,0,0,48,0,1,1,0,1,0,1,0,0,1,0,1
1,30,345122,15,0,0,50,0,1,1,0,1,0,1,0,0,1,0,1
1,40,145160,10,0,0,43,0,1,1,0,1,0,1,0,0,1,0,1
1,46,330901,10,0,0,40,1,0,1,0,1,0,1,0,1,0,0,1
1,62,71467,14,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
1,36,116358,14,0,0,45,0,1,1,0,1,0,1,0,1,0,1,0
1,35,308489,13,0,0,50,0,1,1,0,0,1,1,0,1,0,0,1
1,33,37646,13,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
1,55,243929,14,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
1,40,45093,14,0,0,50,1,0,1,0,1,0,1,0,0,1,0,1
1,39,89508,13,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
1,50,165001,13,0,0,50,0,1,1,0,0,1,1,0,0,1,0,1
1,55,304695,15,0,0,55,1,0,1,0,1,0,1,0,0,1,0,1
1,47,216999,13,0,0,50,0,1,1,0,1,0,1,0,0,1,0,1
0,28,302903,13,0,1485,40,0,1,1,0,1,0,0,1,1,0,0,1
1,38,156728,13,0,0,56,0,1,1,0,1,0,1,0,0,1,0,1
