age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
29,263786,13,1,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
40,442045,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
50,219420,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
36,129150,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
58,219504,8,1,0,0,45,0,1,0,1,0,1,0,1,1,0,0,1
81,98116,13,1,0,0,50,0,1,0,1,0,1,0,1,0,1,0,1
35,226528,16,1,0,0,60,0,1,0,1,1,0,0,1,1,0,1,0
36,247807,11,1,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
38,231491,9,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
50,172052,9,1,0,0,35,0,1,1,0,1,0,1,0,1,0,1,0
50,156951,12,1,3103,0,40,1,0,1,0,1,0,1,0,0,1,0,1
27,229223,10,0,0,0,40,1,0,0,1,0,1,0,1,0,1,0,1
36,223749,13,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
39,184964,10,1,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
45,102147,11,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
35,151835,9,1,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
42,79531,10,1,0,0,55,1,0,1,0,1,0,1,0,0,1,0,1
24,360077,7,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
43,137126,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
52,68015,10,1,0,0,90,1,0,1,0,0,1,1,0,0,1,0,1
42,144056,11,1,0,0,40,0,1,1,0,0,1,1,0,1,0,0,1
49,184285,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
33,101345,9,0,0,0,42,0,1,1,0,1,0,0,1,0,1,1,0
61,298400,13,1,4787,0,48,0,1,0,1,0,1,0,1,1,0,0,1
43,128212,3,0,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
38,79619,13,1,0,0,42,0,1,1,0,0,1,1,0,0,1,0,1
26,402998,13,1,0,0,58,0,1,1,0,1,0,1,0,0,1,0,1
28,180271,13,1,0,0,65,1,0,1,0,0,1,1,0,0,1,0,1
38,316470,13,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
42,38389,13,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
54,137065,16,0,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
50,279129,13,1,0,0,55,0,1,0,1,1,0,0,1,0,1,0,1
54,212960,13,1,0,0,35,0,1,1,0,0,1,1,0,0,1,0,1
56,170070,9,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
34,56026,9,1,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
27,29261,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
35,105138,13,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
42,111483,13,1,0,0,60,0,1,1,0,0,1,1,0,0,1,0,1
27,298635,14,1,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
53,277471,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
42,256813,10,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
40,34722,10,1,0,0,48,0,1,0,1,0,1,0,1,0,1,0,1
75,124660,9,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
57,61885,9,1,0,0,60,1,0,1,0,1,0,1,0,1,0,0,1
42,168071,9,1,0,0,43,1,0,1,0,0,1,1,0,0,1,0,1
29,162551,14,0,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
30,311913,9,0,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
51,114758,7,1,0,0,48,0,1,1,0,1,0,1,0,0,1,0,1
42,449925,13,1,0,0,40,0,1,0,1,0,1,0,1,0,1,0,1
30,243233,10,1,0,0,48,1,0,1,0,0,1,1,0,0,1,0,1
27,107812,13,1,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
43,184625,9,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
22,164775,3,1,0,0,40,1,0,0,1,0,1,0,1,0,1,1,0
47,55272,10,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
60,27886,10,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
33,246038,13,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
67,176388,10,0,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
32,169589,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
39,153976,10,1,0,0,52,0,1,1,0,0,1,1,0,0,1,0,1
62,140851,9,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
27,183523,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
39,343646,13,1,0,0,40,1,0,0,1,0,1,0,1,0,1,1,0
34,102130,9,1,0,0,65,0,1,1,0,0,1,1,0,0,1,0,1
31,240771,10,1,4386,0,50,0,1,1,0,0,1,1,0,0,1,0,1
60,69887,10,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
33,137184,12,1,0,0,50,1,0,0,1,1,0,0,1,0,1,0,1
42,214838,9,1,0,0,30,1,0,1,0,0,1,1,0,0,1,0,1
38,354739,11,1,0,0,36,0,1,1,0,1,0,1,0,1,0,1,0
40,85995,6,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
32,190511,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
36,231948,9,1,0,0,64,0,1,1,0,0,1,1,0,0,1,0,1
44,178417,9,1,0,0,40,1,0,1,0,0,1,0,1,0,1,0,1
61,156542,15,1,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
24,117959,9,1,4386,0,40,0,1,1,0,0,1,1,0,0,1,0,1
56,238582,10,1,0,0,41,1,0,1,0,0,1,1,0,0,1,0,1
56,191330,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
55,487411,14,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
35,322171,10,0,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
60,101110,11,1,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
68,116993,15,1,0,0,60,0,1,0,1,1,0,0,1,0,1,0,1
51,221532,13,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
53,56213,10,1,0,0,45,0,1,1,0,1,0,1,0,0,1,0,1
48,107231,13,1,0,0,55,0,1,1,0,1,0,1,0,0,1,0,1
67,106175,13,1,0,0,20,0,1,1,0,0,1,1,0,0,1,0,1
34,265706,14,1,0,0,60,0,1,0,1,0,1,0,1,0,1,0,1
48,353824,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,1,0
45,83993,12,0,0,0,56,0,1,0,1,1,0,0,1,0,1,0,1
79,84979,11,1,0,0,20,1,0,1,0,0,1,1,0,0,1,0,1
44,194924,9,1,0,0,35,0,1,1,0,0,1,1,0,0,1,0,1
38,194630,13,0,4787,0,43,1,0,0,1,0,1,0,1,0,1,0,1
40,325159,10,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
72,217864,9,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
34,153614,9,1,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
30,509364,10,1,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
35,193026,13,1,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
39,288551,10,1,0,0,52,0,1,1,0,0,1,1,0,1,0,0,1
27,275110,9,1,0,0,80,0,1,1,0,0,1,1,0,1,0,0,1
36,172425,9,0,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
53,266598,9,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
42,162003,16,1,0,0,36,0,1,0,1,1,0,0,1,0,1,0,1
61,42938,13,1,0,0,7,0,1,0,1,0,1,0,1,0,1,0,1
53,151411,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
31,122612,14,0,0,0,25,0,1,1,0,0,1,0,1,1,0,1,0
56,99894,6,0,0,0,30,0,1,1,0,0,1,0,1,1,0,1,0
41,69333,9,1,0,0,45,0,1,1,0,0,1,1,0,0,1,0,1
39,24106,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,1,0
26,108542,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
60,268954,10,1,0,0,12,1,0,1,0,0,1,1,0,0,1,0,1
46,76131,3,0,0,0,40,0,1,1,0,0,1,0,1,1,0,1,0
61,111563,13,1,0,0,20,1,0,1,0,0,1,1,0,0,1,0,1
48,103406,13,1,0,0,35,0,1,1,0,0,1,1,0,0,1,0,1
34,260560,9,1,0,0,55,0,1,1,0,0,1,1,0,0,1,0,1
51,99185,12,1,0,0,40,1,0,1,0,1,0,1,0,0,1,0,1
28,242832,11,0,0,0,36,0,1,1,0,1,0,0,1,0,1,0,1
49,226871,9,1,0,0,40,1,0,1,0,1,0,1,0,1,0,0,1
55,53481,13,1,0,0,15,0,1,1,0,0,1,1,0,0,1,0,1
32,186824,13,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
29,206903,15,1,0,0,55,1,0,1,0,1,0,1,0,0,1,0,1
57,97837,10,1,0,0,48,1,0,0,1,1,0,0,1,0,1,0,1
59,176118,14,1,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
37,116960,13,1,0,0,45,0,1,0,1,1,0,0,1,0,1,0,1
52,210736,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
37,422933,14,1,0,0,40,0,1,0,1,1,0,0,1,0,1,0,1
47,176319,9,0,0,0,38,0,1,1,0,0,1,0,1,0,1,0,1
28,167336,9,0,0,0,45,0,1,1,0,1,0,0,1,0,1,0,1
37,160192,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
45,187581,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
31,86492,11,1,0,0,30,0,1,1,0,0,1,1,0,0,1,0,1
26,391349,13,0,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
41,172712,13,0,0,0,40,0,1,0,1,0,1,0,1,0,1,0,1
53,185407,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
42,192381,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
34,137900,13,0,0,0,48,1,0,0,1,1,0,0,1,0,1,0,1
