age,fnlwgt,education-num,sex,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
59,75867,14,1,0,0,60,0,1,1,0,1,0,1,0,0,1,0,1
34,532379,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
41,112763,10,0,0,0,35,0,1,1,0,1,0,0,1,0,1,0,1
40,144067,11,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
30,241583,10,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
57,182677,13,1,4508,0,40,0,1,1,0,1,0,1,0,1,0,1,0
31,114937,13,1,0,0,35,0,1,1,0,1,0,1,0,0,1,0,1
31,137978,13,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
43,200508,13,1,0,0,40,1,0,1,0,0,1,1,0,0,1,0,1
59,93655,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
31,152940,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
29,263005,14,1,0,0,45,0,1,1,0,1,0,1,0,0,1,1,0
31,400535,9,1,0,0,72,1,0,1,0,0,1,1,0,0,1,0,1
66,188842,13,1,0,0,24,1,0,1,0,1,0,1,0,0,1,0,1
50,330142,10,1,0,0,44,0,1,1,0,0,1,1,0,0,1,0,1
44,211759,13,1,0,0,40,0,1,1,0,1,0,1,0,1,0,1,0
31,166248,9,1,0,0,40,0,1,1,0,1,0,1,0,0,1,0,1
47,159869,16,1,0,0,50,1,0,1,0,0,1,1,0,0,1,0,1
44,182383,10,0,0,0,35,0,1,1,0,1,0,0,1,0,1,0,1
56,182142,9,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
33,267404,9,0,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
47,186311,13,0,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
36,175769,15,1,0,0,60,1,0,1,0,0,1,1,0,0,1,0,1
44,200194,10,1,0,0,40,0,1,1,0,0,1,1,0,0,1,0,1
44,57600,10,0,0,0,38,0,1,1,0,1,0,0,1,0,1,0,1
