age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
59,193375,14,0,0,10,0,1,1,0,1,0,0,1,0,1,0,1
33,92003,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
45,189564,14,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
43,128354,9,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
34,190040,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
34,178623,13,0,0,35,0,1,1,0,1,0,0,1,1,0,0,1
34,114733,12,0,0,36,1,0,1,0,1,0,0,1,0,1,0,1
43,143582,3,0,2129,72,0,1,1,0,1,0,0,1,1,0,0,1
28,247819,11,0,0,5,0,1,1,0,1,0,0,1,0,1,0,1
37,330826,11,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
42,46743,10,0,0,25,0,1,1,0,1,0,0,1,0,1,0,1
27,257302,12,0,0,38,0,1,1,0,0,1,0,1,0,1,0,1
49,117310,12,0,0,38,0,1,1,0,1,0,0,1,0,1,0,1
44,328561,11,0,0,20,0,1,1,0,1,0,0,1,0,1,0,1
57,98466,9,0,0,16,1,0,1,0,1,0,0,1,0,1,0,1
39,85783,13,0,0,28,0,1,1,0,1,0,0,1,0,1,0,1
26,181666,12,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
39,119421,13,0,0,42,1,0,1,0,1,0,0,1,0,1,0,1
58,179089,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
51,245873,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
33,69748,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
51,122109,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
49,171301,9,0,0,40,0,1,1,0,1,0,0,1,1,0,0,1
41,297186,9,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
44,208726,9,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
