feature,top_pos_contribution,top_neg_contribution
age,390.0,122.0
fnlwgt,181.0,61.0
education-num,267.0,234.0
sex,156.0,44.0
capital-gain,13.0,505.0
capital-loss,5.0,319.0
hours-per-week,358.0,60.0
workclass_Non-Private,2.0,27.0
workclass_Private,2.0,41.0
marital-status_Married,410.0,110.0
marital-status_Non-Married,412.0,108.0
occupation_Managerial-Specialist,131.0,301.0
occupation_Other,154.0,301.0
relationship_Husband,19.0,158.0
relationship_Non-Husband,22.0,71.0
race_Non-White,10.0,33.0
race_White,31.0,39.0
native-country_Non-US,3.0,12.0
native-country_US,34.0,29.0
