feature,top_pos_contribution,top_neg_contribution
age,200.0,11.0
fnlwgt,2.0,58.0
education-num,213.0,1.0
sex,3.0,46.0
capital-gain,3.0,210.0
capital-loss,1.0,177.0
hours-per-week,192.0,8.0
workclass_Non-Private,0.0,39.0
workclass_Private,0.0,55.0
marital-status_Married,211.0,4.0
marital-status_Non-Married,211.0,4.0
occupation_Managerial-Specialist,20.0,59.0
occupation_Other,18.0,55.0
relationship_Husband,0.0,94.0
relationship_Non-Husband,0.0,90.0
race_Non-White,0.0,21.0
race_White,1.0,25.0
native-country_Non-US,0.0,8.0
native-country_US,0.0,15.0
