feature,top_pos_contribution,top_neg_contribution
age,715.0,221.0
fnlwgt,107.0,194.0
education-num,424.0,474.0
capital-gain,20.0,899.0
capital-loss,7.0,666.0
hours-per-week,372.0,241.0
workclass_Non-Private,23.0,88.0
workclass_Private,38.0,93.0
marital-status_Married,566.0,103.0
marital-status_Non-Married,801.0,148.0
occupation_Managerial-Specialist,92.0,389.0
occupation_Other,331.0,556.0
relationship_Husband,793.0,145.0
relationship_Non-Husband,359.0,140.0
race_Non-White,18.0,40.0
race_White,16.0,44.0
native-country_Non-US,12.0,46.0
native-country_US,84.0,68.0
