feature,top_pos_contribution,top_neg_contribution
age,572.0,130.0
fnlwgt,283.0,76.0
education-num,327.0,335.0
sex,0.0,651.0
capital-gain,13.0,687.0
capital-loss,6.0,421.0
hours-per-week,496.0,67.0
workclass_Non-Private,6.0,16.0
workclass_Private,3.0,39.0
marital-status_Married,585.0,118.0
marital-status_Non-Married,585.0,119.0
occupation_Managerial-Specialist,66.0,65.0
occupation_Other,263.0,434.0
relationship_Husband,63.0,228.0
relationship_Non-Husband,2.0,4.0
race_Non-White,66.0,32.0
race_White,92.0,29.0
native-country_Non-US,9.0,16.0
native-country_US,87.0,35.0
