feature,top_pos_contribution,top_neg_contribution
age,140.0,8.0
fnlwgt,5.0,6.0
education-num,149.0,0.0
capital-gain,4.0,146.0
capital-loss,4.0,111.0
hours-per-week,108.0,8.0
workclass_Non-Private,0.0,9.0
workclass_Private,0.0,39.0
marital-status_Married,145.0,5.0
marital-status_Non-Married,145.0,5.0
occupation_Managerial-Specialist,5.0,54.0
occupation_Other,39.0,56.0
relationship_Husband,1.0,120.0
relationship_Non-Husband,1.0,58.0
race_Non-White,3.0,19.0
race_White,0.0,9.0
native-country_Non-US,1.0,18.0
native-country_US,0.0,12.0
