feature,top_pos_contribution,top_neg_contribution
age,70.0,16.0
fnlwgt,26.0,17.0
education-num,51.0,31.0
sex,20.0,31.0
capital-gain,0.0,65.0
capital-loss,0.0,23.0
hours-per-week,36.0,24.0
workclass_Non-Private,3.0,18.0
workclass_Private,4.0,15.0
marital-status_Married,40.0,48.0
marital-status_Non-Married,39.0,47.0
occupation_Managerial-Specialist,48.0,20.0
occupation_Other,34.0,16.0
relationship_Husband,26.0,22.0
relationship_Non-Husband,27.0,24.0
race_Non-White,8.0,7.0
race_White,7.0,7.0
native-country_Non-US,2.0,6.0
native-country_US,4.0,6.0
