feature,top_pos_contribution,top_neg_contribution
age,430.0,35.0
fnlwgt,180.0,154.0
education-num,418.0,54.0
capital-gain,3.0,436.0
capital-loss,9.0,307.0
hours-per-week,372.0,70.0
workclass_Non-Private,30.0,145.0
workclass_Private,24.0,132.0
marital-status_Married,83.0,16.0
marital-status_Non-Married,122.0,21.0
occupation_Managerial-Specialist,155.0,158.0
occupation_Other,67.0,171.0
relationship_Husband,442.0,15.0
relationship_Non-Husband,164.0,15.0
race_Non-White,12.0,66.0
race_White,11.0,71.0
native-country_Non-US,4.0,61.0
native-country_US,7.0,55.0
