feature,top_pos_contribution,top_neg_contribution
age,62.0,5.0
fnlwgt,14.0,24.0
education-num,60.0,13.0
sex,34.0,5.0
capital-gain,2.0,67.0
capital-loss,1.0,43.0
hours-per-week,30.0,20.0
workclass_Non-Private,5.0,25.0
workclass_Private,3.0,24.0
marital-status_Married,61.0,11.0
marital-status_Non-Married,62.0,16.0
occupation_Managerial-Specialist,18.0,11.0
occupation_Other,14.0,10.0
relationship_Husband,10.0,30.0
relationship_Non-Husband,11.0,27.0
race_Non-White,1.0,7.0
race_White,2.0,8.0
native-country_Non-US,3.0,6.0
native-country_US,2.0,7.0
