feature,top_pos_contribution,top_neg_contribution
age,53.0,17.0
fnlwgt,28.0,17.0
education-num,45.0,21.0
capital-gain,0.0,60.0
capital-loss,0.0,14.0
hours-per-week,40.0,18.0
workclass_Non-Private,5.0,19.0
workclass_Private,4.0,19.0
marital-status_Married,35.0,37.0
marital-status_Non-Married,34.0,37.0
occupation_Managerial-Specialist,35.0,19.0
occupation_Other,22.0,15.0
relationship_Husband,18.0,24.0
relationship_Non-Husband,19.0,18.0
race_Non-White,8.0,6.0
race_White,9.0,7.0
native-country_Non-US,3.0,4.0
native-country_US,6.0,4.0
