feature,top_pos_contribution,top_neg_contribution
age,513.0,126.0
fnlwgt,193.0,294.0
education-num,280.0,354.0
capital-gain,11.0,601.0
capital-loss,10.0,189.0
hours-per-week,401.0,152.0
workclass_Non-Private,57.0,130.0
workclass_Private,70.0,146.0
marital-status_Married,573.0,112.0
marital-status_Non-Married,568.0,115.0
occupation_Managerial-Specialist,204.0,326.0
occupation_Other,184.0,308.0
relationship_Husband,114.0,246.0
relationship_Non-Husband,93.0,135.0
race_Non-White,54.0,45.0
race_White,61.0,49.0
native-country_Non-US,34.0,44.0
native-country_US,43.0,49.0
