feature,top_pos_contribution,top_neg_contribution
age,9.0,0.0
fnlwgt,2.0,3.0
education-num,7.0,1.0
capital-gain,0.0,6.0
capital-loss,0.0,2.0
hours-per-week,6.0,1.0
workclass_Non-Private,2.0,1.0
workclass_Private,1.0,3.0
marital-status_Married,7.0,2.0
marital-status_Non-Married,7.0,2.0
occupation_Managerial-Specialist,2.0,3.0
occupation_Other,2.0,3.0
relationship_Husband,0.0,4.0
relationship_Non-Husband,0.0,3.0
race_Non-White,0.0,1.0
race_White,0.0,2.0
native-country_Non-US,0.0,1.0
native-country_US,0.0,2.0
