feature,top_pos_contribution,top_neg_contribution
Sex,44.0,0.0
Age,10.0,15.0
EducationLevel_1,0.0,0.0
EducationLevel_2,0.0,39.0
EducationLevel_3,6.0,38.0
EducationLevel_4,0.0,1.0
EducationLevel_5,22.0,4.0
EducationLevel_6,44.0,0.0
HouseholdPosition_1,0.0,8.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,0.0,26.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,0.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,1.0,5.0
HouseholdSize_5,0.0,0.0
HouseholdSize_6,0.0,0.0
Country_1,0.0,32.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,44.0,0.0
EconomicStatus_3,0.0,20.0
CurEcoActivity_1,0.0,0.0
CurEcoActivity_2,0.0,10.0
CurEcoActivity_3,2.0,6.0
CurEcoActivity_4,0.0,2.0
CurEcoActivity_5,39.0,2.0
CurEcoActivity_6,5.0,1.0
CurEcoActivity_7,0.0,11.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,3.0,0.0
CurEcoActivity_12,0.0,0.0
MaritalStatus_1,0.0,0.0
MaritalStatus_2,0.0,0.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
