feature,top_pos_contribution,top_neg_contribution
Sex,0.0,40.0
Age,12.0,25.0
EducationLevel_1,0.0,0.0
EducationLevel_2,1.0,12.0
EducationLevel_3,27.0,12.0
EducationLevel_4,0.0,0.0
EducationLevel_5,34.0,0.0
EducationLevel_6,40.0,0.0
HouseholdPosition_1,0.0,0.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,2.0,38.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,0.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,0.0,0.0
HouseholdSize_5,0.0,0.0
HouseholdSize_6,0.0,0.0
Country_1,1.0,22.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,40.0,0.0
EconomicStatus_3,0.0,3.0
CurEcoActivity_1,0.0,0.0
CurEcoActivity_2,0.0,2.0
CurEcoActivity_3,0.0,4.0
CurEcoActivity_4,0.0,16.0
CurEcoActivity_5,13.0,0.0
CurEcoActivity_6,1.0,2.0
CurEcoActivity_7,3.0,0.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,19.0,0.0
MaritalStatus_1,7.0,24.0
MaritalStatus_2,0.0,0.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
