feature,top_pos_contribution,top_neg_contribution
Sex,0.0,122.0
Age,5.0,115.0
EducationLevel_1,0.0,0.0
EducationLevel_2,4.0,27.0
EducationLevel_3,16.0,104.0
EducationLevel_4,12.0,104.0
EducationLevel_5,114.0,0.0
EducationLevel_6,122.0,0.0
HouseholdPosition_1,0.0,0.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,3.0,9.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,0.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,0.0,0.0
HouseholdSize_5,0.0,2.0
HouseholdSize_6,0.0,0.0
Country_1,0.0,0.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,122.0,0.0
EconomicStatus_3,0.0,1.0
CurEcoActivity_1,0.0,0.0
CurEcoActivity_2,0.0,23.0
CurEcoActivity_3,1.0,14.0
CurEcoActivity_4,0.0,8.0
CurEcoActivity_5,103.0,0.0
CurEcoActivity_6,11.0,1.0
CurEcoActivity_7,6.0,0.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,1.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,74.0,1.0
MaritalStatus_1,4.0,5.0
MaritalStatus_2,12.0,74.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
