feature,top_pos_contribution,top_neg_contribution
Sex,0.0,339.0
Age,4.0,333.0
EducationLevel_1,1.0,0.0
EducationLevel_2,22.0,222.0
EducationLevel_3,95.0,222.0
EducationLevel_4,0.0,2.0
EducationLevel_5,319.0,0.0
EducationLevel_6,339.0,0.0
HouseholdPosition_1,0.0,0.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,5.0,330.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,3.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,0.0,2.0
HouseholdSize_5,0.0,1.0
HouseholdSize_6,0.0,0.0
Country_1,20.0,79.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,339.0,0.0
EconomicStatus_3,0.0,2.0
CurEcoActivity_1,0.0,0.0
CurEcoActivity_2,0.0,2.0
CurEcoActivity_3,13.0,14.0
CurEcoActivity_4,0.0,36.0
CurEcoActivity_5,247.0,0.0
CurEcoActivity_6,47.0,2.0
CurEcoActivity_7,36.0,2.0
CurEcoActivity_8,9.0,2.0
CurEcoActivity_9,6.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,11.0,3.0
CurEcoActivity_12,140.0,15.0
MaritalStatus_1,26.0,84.0
MaritalStatus_2,16.0,0.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
