feature,top_pos_contribution,top_neg_contribution
Age,1.0,7.0
EducationLevel_1,0.0,0.0
EducationLevel_2,0.0,7.0
EducationLevel_3,0.0,9.0
EducationLevel_4,7.0,2.0
EducationLevel_5,7.0,0.0
EducationLevel_6,2.0,7.0
HouseholdPosition_1,0.0,0.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,0.0,0.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,0.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,0.0,0.0
HouseholdSize_5,0.0,0.0
HouseholdSize_6,0.0,0.0
Country_1,0.0,0.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,9.0,0.0
EconomicStatus_3,0.0,0.0
CurEcoActivity_1,1.0,0.0
CurEcoActivity_2,0.0,2.0
CurEcoActivity_3,0.0,6.0
CurEcoActivity_4,1.0,5.0
CurEcoActivity_5,9.0,0.0
CurEcoActivity_6,0.0,0.0
CurEcoActivity_7,0.0,0.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,5.0,0.0
MaritalStatus_1,0.0,0.0
MaritalStatus_2,3.0,0.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
