feature,top_pos_contribution,top_neg_contribution
Age,7.0,170.0
EducationLevel_1,0.0,0.0
EducationLevel_2,6.0,134.0
EducationLevel_3,23.0,159.0
EducationLevel_4,27.0,155.0
EducationLevel_5,157.0,1.0
EducationLevel_6,185.0,0.0
HouseholdPosition_1,0.0,3.0
HouseholdPosition_2,0.0,0.0
HouseholdPosition_3,0.0,0.0
HouseholdPosition_4,2.0,1.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,1.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,0.0
HouseholdSize_3,0.0,0.0
HouseholdSize_4,0.0,1.0
HouseholdSize_5,0.0,0.0
HouseholdSize_6,0.0,4.0
Country_1,4.0,21.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,185.0,0.0
EconomicStatus_3,0.0,2.0
CurEcoActivity_1,0.0,0.0
CurEcoActivity_2,0.0,6.0
CurEcoActivity_3,4.0,175.0
CurEcoActivity_4,80.0,59.0
CurEcoActivity_5,161.0,0.0
CurEcoActivity_6,0.0,0.0
CurEcoActivity_7,14.0,0.0
CurEcoActivity_8,5.0,0.0
CurEcoActivity_9,2.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,39.0,5.0
MaritalStatus_1,0.0,0.0
MaritalStatus_2,23.0,29.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
