feature,top_pos_contribution,top_neg_contribution
Sex,1.0,282.0
Age,95.0,125.0
EducationLevel_1,1.0,0.0
EducationLevel_2,8.0,87.0
EducationLevel_3,23.0,190.0
EducationLevel_4,25.0,196.0
EducationLevel_5,27.0,10.0
EducationLevel_6,246.0,37.0
HouseholdPosition_1,7.0,5.0
HouseholdPosition_2,118.0,43.0
HouseholdPosition_3,18.0,24.0
HouseholdPosition_4,7.0,93.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,1.0
HouseholdPosition_7,1.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,27.0,15.0
HouseholdSize_3,35.0,6.0
HouseholdSize_4,2.0,21.0
HouseholdSize_5,18.0,17.0
HouseholdSize_6,1.0,5.0
Country_1,6.0,0.0
Country_2,1.0,0.0
Country_3,3.0,0.0
EconomicStatus_1,2.0,2.0
EconomicStatus_2,281.0,2.0
EconomicStatus_3,0.0,12.0
CurEcoActivity_1,30.0,11.0
CurEcoActivity_2,58.0,29.0
CurEcoActivity_3,9.0,2.0
CurEcoActivity_4,14.0,49.0
CurEcoActivity_5,251.0,4.0
CurEcoActivity_6,16.0,33.0
CurEcoActivity_7,10.0,1.0
CurEcoActivity_8,5.0,0.0
CurEcoActivity_9,8.0,2.0
CurEcoActivity_10,0.0,7.0
CurEcoActivity_11,5.0,5.0
CurEcoActivity_12,28.0,12.0
MaritalStatus_1,16.0,63.0
MaritalStatus_2,9.0,24.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,3.0,0.0
