feature,top_pos_contribution,top_neg_contribution
Sex,20.0,218.0
Age,128.0,97.0
EducationLevel_1,2.0,0.0
EducationLevel_2,23.0,61.0
EducationLevel_3,82.0,103.0
EducationLevel_4,75.0,117.0
EducationLevel_5,1.0,2.0
EducationLevel_6,249.0,4.0
HouseholdPosition_1,2.0,27.0
HouseholdPosition_2,36.0,68.0
HouseholdPosition_3,31.0,43.0
HouseholdPosition_4,7.0,97.0
HouseholdPosition_5,0.0,2.0
HouseholdPosition_6,2.0,4.0
HouseholdPosition_7,0.0,1.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,4.0
HouseholdSize_2,9.0,32.0
HouseholdSize_3,12.0,14.0
HouseholdSize_4,5.0,25.0
HouseholdSize_5,6.0,13.0
HouseholdSize_6,4.0,2.0
Country_1,12.0,10.0
Country_2,0.0,1.0
Country_3,3.0,0.0
EconomicStatus_1,9.0,0.0
EconomicStatus_2,251.0,0.0
EconomicStatus_3,0.0,21.0
CurEcoActivity_1,3.0,23.0
CurEcoActivity_2,19.0,12.0
CurEcoActivity_3,14.0,21.0
CurEcoActivity_4,14.0,25.0
CurEcoActivity_5,126.0,6.0
CurEcoActivity_6,43.0,9.0
CurEcoActivity_7,41.0,7.0
CurEcoActivity_8,1.0,2.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,4.0
CurEcoActivity_11,0.0,3.0
CurEcoActivity_12,7.0,4.0
MaritalStatus_1,20.0,92.0
MaritalStatus_2,4.0,86.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,4.0,5.0
