feature,top_pos_contribution,top_neg_contribution
Age,12.0,24.0
EducationLevel_1,0.0,0.0
EducationLevel_2,0.0,13.0
EducationLevel_3,3.0,42.0
EducationLevel_4,5.0,24.0
EducationLevel_5,5.0,1.0
EducationLevel_6,45.0,6.0
HouseholdPosition_1,6.0,1.0
HouseholdPosition_2,5.0,4.0
HouseholdPosition_3,3.0,15.0
HouseholdPosition_4,0.0,22.0
HouseholdPosition_5,0.0,1.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,2.0,0.0
HouseholdSize_2,16.0,3.0
HouseholdSize_3,0.0,1.0
HouseholdSize_4,1.0,0.0
HouseholdSize_5,1.0,0.0
HouseholdSize_6,0.0,1.0
Country_1,0.0,0.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,0.0,0.0
EconomicStatus_2,51.0,0.0
EconomicStatus_3,0.0,0.0
CurEcoActivity_1,19.0,2.0
CurEcoActivity_2,30.0,10.0
CurEcoActivity_3,0.0,0.0
CurEcoActivity_4,2.0,11.0
CurEcoActivity_5,19.0,0.0
CurEcoActivity_6,4.0,10.0
CurEcoActivity_7,0.0,1.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,4.0,0.0
CurEcoActivity_12,16.0,0.0
MaritalStatus_1,4.0,31.0
MaritalStatus_2,2.0,32.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
