feature,top_pos_contribution,top_neg_contribution
Sex,71.0,0.0
Age,28.0,28.0
EducationLevel_1,0.0,0.0
EducationLevel_2,2.0,16.0
EducationLevel_3,18.0,41.0
EducationLevel_4,7.0,51.0
EducationLevel_5,4.0,1.0
EducationLevel_6,66.0,5.0
HouseholdPosition_1,9.0,14.0
HouseholdPosition_2,6.0,30.0
HouseholdPosition_3,5.0,14.0
HouseholdPosition_4,2.0,14.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,2.0,2.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,6.0,24.0
HouseholdSize_3,1.0,4.0
HouseholdSize_4,2.0,5.0
HouseholdSize_5,0.0,5.0
HouseholdSize_6,0.0,0.0
Country_1,1.0,7.0
Country_2,0.0,0.0
Country_3,0.0,4.0
EconomicStatus_1,4.0,1.0
EconomicStatus_2,64.0,0.0
EconomicStatus_3,0.0,2.0
CurEcoActivity_1,1.0,17.0
CurEcoActivity_2,2.0,6.0
CurEcoActivity_3,0.0,21.0
CurEcoActivity_4,0.0,1.0
CurEcoActivity_5,45.0,1.0
CurEcoActivity_6,1.0,0.0
CurEcoActivity_7,3.0,3.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,1.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,1.0,0.0
MaritalStatus_1,1.0,21.0
MaritalStatus_2,2.0,14.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,1.0,2.0
