feature,top_pos_contribution,top_neg_contribution
Sex,55.0,315.0
Age,196.0,123.0
EducationLevel_1,1.0,0.0
EducationLevel_2,18.0,91.0
EducationLevel_3,93.0,223.0
EducationLevel_4,82.0,163.0
EducationLevel_5,0.0,6.0
EducationLevel_6,395.0,0.0
HouseholdPosition_1,42.0,4.0
HouseholdPosition_2,62.0,93.0
HouseholdPosition_3,90.0,67.0
HouseholdPosition_4,4.0,166.0
HouseholdPosition_5,0.0,7.0
HouseholdPosition_6,3.0,1.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,1.0
HouseholdSize_1,0.0,7.0
HouseholdSize_2,15.0,118.0
HouseholdSize_3,39.0,54.0
HouseholdSize_4,5.0,103.0
HouseholdSize_5,15.0,35.0
HouseholdSize_6,5.0,3.0
Country_1,4.0,20.0
Country_2,1.0,2.0
Country_3,3.0,2.0
EconomicStatus_1,1.0,0.0
EconomicStatus_2,393.0,0.0
EconomicStatus_3,0.0,10.0
CurEcoActivity_1,6.0,25.0
CurEcoActivity_2,21.0,11.0
CurEcoActivity_3,16.0,20.0
CurEcoActivity_4,0.0,35.0
CurEcoActivity_5,270.0,1.0
CurEcoActivity_6,57.0,10.0
CurEcoActivity_7,41.0,7.0
CurEcoActivity_8,2.0,0.0
CurEcoActivity_9,1.0,0.0
CurEcoActivity_10,0.0,4.0
CurEcoActivity_11,1.0,2.0
CurEcoActivity_12,8.0,1.0
MaritalStatus_1,21.0,120.0
MaritalStatus_2,16.0,128.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,3.0,7.0
