feature,top_pos_contribution,top_neg_contribution
Sex,28.0,0.0
Age,7.0,10.0
EducationLevel_1,0.0,0.0
EducationLevel_2,0.0,17.0
EducationLevel_3,4.0,22.0
EducationLevel_4,0.0,14.0
EducationLevel_5,1.0,2.0
EducationLevel_6,16.0,12.0
HouseholdPosition_1,1.0,1.0
HouseholdPosition_2,2.0,6.0
HouseholdPosition_3,2.0,5.0
HouseholdPosition_4,1.0,4.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,1.0,3.0
HouseholdSize_3,0.0,4.0
HouseholdSize_4,8.0,4.0
HouseholdSize_5,0.0,3.0
HouseholdSize_6,0.0,0.0
Country_1,0.0,7.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,11.0,1.0
EconomicStatus_2,27.0,0.0
EconomicStatus_3,0.0,3.0
CurEcoActivity_1,1.0,6.0
CurEcoActivity_2,1.0,5.0
CurEcoActivity_3,0.0,1.0
CurEcoActivity_4,0.0,2.0
CurEcoActivity_5,24.0,1.0
CurEcoActivity_6,0.0,0.0
CurEcoActivity_7,0.0,1.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,0.0,0.0
MaritalStatus_1,5.0,5.0
MaritalStatus_2,0.0,1.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,0.0
