feature,top_pos_contribution,top_neg_contribution
Sex,1.0,52.0
Age,7.0,37.0
EducationLevel_1,0.0,0.0
EducationLevel_2,2.0,15.0
EducationLevel_3,1.0,42.0
EducationLevel_4,3.0,39.0
EducationLevel_5,9.0,0.0
EducationLevel_6,42.0,11.0
HouseholdPosition_1,0.0,1.0
HouseholdPosition_2,32.0,4.0
HouseholdPosition_3,2.0,1.0
HouseholdPosition_4,1.0,18.0
HouseholdPosition_5,0.0,0.0
HouseholdPosition_6,0.0,1.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,0.0
HouseholdSize_2,0.0,4.0
HouseholdSize_3,5.0,0.0
HouseholdSize_4,0.0,2.0
HouseholdSize_5,2.0,2.0
HouseholdSize_6,0.0,1.0
Country_1,1.0,0.0
Country_2,0.0,0.0
Country_3,1.0,0.0
EconomicStatus_1,1.0,0.0
EconomicStatus_2,53.0,0.0
EconomicStatus_3,0.0,0.0
CurEcoActivity_1,3.0,1.0
CurEcoActivity_2,21.0,5.0
CurEcoActivity_3,0.0,1.0
CurEcoActivity_4,2.0,7.0
CurEcoActivity_5,50.0,1.0
CurEcoActivity_6,3.0,2.0
CurEcoActivity_7,0.0,0.0
CurEcoActivity_8,0.0,0.0
CurEcoActivity_9,5.0,1.0
CurEcoActivity_10,0.0,0.0
CurEcoActivity_11,1.0,0.0
CurEcoActivity_12,11.0,4.0
MaritalStatus_1,3.0,12.0
MaritalStatus_2,2.0,1.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,1.0,0.0
