feature,top_pos_contribution,top_neg_contribution
Age,33.0,4.0
EducationLevel_1,0.0,0.0
EducationLevel_2,1.0,7.0
EducationLevel_3,8.0,30.0
EducationLevel_4,4.0,29.0
EducationLevel_5,0.0,0.0
EducationLevel_6,38.0,3.0
HouseholdPosition_1,4.0,15.0
HouseholdPosition_2,5.0,8.0
HouseholdPosition_3,2.0,4.0
HouseholdPosition_4,1.0,3.0
HouseholdPosition_5,0.0,3.0
HouseholdPosition_6,0.0,0.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,3.0
HouseholdSize_2,4.0,13.0
HouseholdSize_3,1.0,3.0
HouseholdSize_4,5.0,7.0
HouseholdSize_5,0.0,5.0
HouseholdSize_6,0.0,0.0
Country_1,0.0,1.0
Country_2,0.0,0.0
Country_3,0.0,1.0
EconomicStatus_1,0.0,1.0
EconomicStatus_2,40.0,1.0
EconomicStatus_3,1.0,11.0
CurEcoActivity_1,2.0,3.0
CurEcoActivity_2,1.0,5.0
CurEcoActivity_3,9.0,23.0
CurEcoActivity_4,5.0,1.0
CurEcoActivity_5,29.0,0.0
CurEcoActivity_6,1.0,1.0
CurEcoActivity_7,2.0,1.0
CurEcoActivity_8,3.0,0.0
CurEcoActivity_9,0.0,0.0
CurEcoActivity_10,0.0,2.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,0.0,0.0
MaritalStatus_1,4.0,6.0
MaritalStatus_2,2.0,10.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,1.0
