feature,top_pos_contribution,top_neg_contribution
Age,66.0,70.0
EducationLevel_1,0.0,0.0
EducationLevel_2,5.0,39.0
EducationLevel_3,23.0,98.0
EducationLevel_4,25.0,130.0
EducationLevel_5,0.0,0.0
EducationLevel_6,158.0,1.0
HouseholdPosition_1,4.0,3.0
HouseholdPosition_2,49.0,36.0
HouseholdPosition_3,22.0,10.0
HouseholdPosition_4,3.0,44.0
HouseholdPosition_5,0.0,2.0
HouseholdPosition_6,2.0,1.0
HouseholdPosition_7,0.0,0.0
HouseholdPosition_8,0.0,0.0
HouseholdSize_1,0.0,3.0
HouseholdSize_2,9.0,31.0
HouseholdSize_3,13.0,17.0
HouseholdSize_4,22.0,17.0
HouseholdSize_5,6.0,14.0
HouseholdSize_6,1.0,2.0
Country_1,2.0,2.0
Country_2,0.0,0.0
Country_3,0.0,0.0
EconomicStatus_1,1.0,0.0
EconomicStatus_2,155.0,0.0
EconomicStatus_3,0.0,3.0
CurEcoActivity_1,0.0,7.0
CurEcoActivity_2,6.0,5.0
CurEcoActivity_3,7.0,87.0
CurEcoActivity_4,27.0,10.0
CurEcoActivity_5,119.0,0.0
CurEcoActivity_6,22.0,5.0
CurEcoActivity_7,10.0,1.0
CurEcoActivity_8,3.0,2.0
CurEcoActivity_9,1.0,0.0
CurEcoActivity_10,0.0,5.0
CurEcoActivity_11,0.0,0.0
CurEcoActivity_12,6.0,5.0
MaritalStatus_1,20.0,75.0
MaritalStatus_2,8.0,69.0
MaritalStatus_3,0.0,0.0
MaritalStatus_4,0.0,1.0
